TF	PctBinding	PctBindingBackground	LowerCI	OR	UpperCI	alpha	P	FDR
ETV6	0.274074074074074	0.293528001743299	0.599916954182678	0.906143498693104	1.34339957430683	0.05	0.701242788072785	1
SRF	0.0296296296296296	0.014382218348224	0.562931525811784	2.16249821871164	5.95349680343978	0.05	0.128313858659873	0.594677472868784
SMARCC2	0.0666666666666667	0.0538243626062323	0.55838378076977	1.26523307743953	2.52127765246993	0.05	0.440710643198568	0.957698128489196
IRF8	0.148148148148148	0.159511876225757	0.534587968949895	0.914063927002059	1.48995274141459	0.05	0.811593889494282	1
JUN	0.0518518518518519	0.0390063194595773	0.528466085876639	1.36134866262414	2.94856209530748	0.05	0.369531936097553	0.949344255816365
BCLAF1	0.259259259259259	0.303769884506428	0.523438182735499	0.797150525065446	1.18917448934086	0.05	0.295964156605951	0.903890532337094
NR3C1	0.0666666666666667	0.0586184353889736	0.508996000095449	1.15215930358528	2.29268454077392	0.05	0.707923451554284	1
FOSL1	0.0814814814814815	0.0780126389191545	0.505912266250883	1.04994789857757	1.96915900274744	0.05	0.870118920722071	1
ZNF143	0.155555555555556	0.178034430159076	0.501438382655242	0.846565257066574	1.36670868382001	0.05	0.568138941422069	1
POLR3A	0.0222222222222222	0.00937023316626716	0.489973031619703	2.50699652297826	8.03391307286505	0.05	0.131565812581589	0.594677472868784
NFYB	0.037037037037037	0.0246241011113532	0.484352724902713	1.54751991047821	3.81820800851716	0.05	0.386458723606662	0.949344255816365
POLR2A	0.362962962962963	0.445848768794945	0.480774380522709	0.70106513234868	1.01255458370514	0.05	0.0531340810306109	0.333563953136613
GABPA	0.17037037037037	0.20941381564611	0.466119155348297	0.769806100542803	1.22203964903929	0.05	0.284104322395526	0.891771900852622
MYC	0.0444444444444444	0.035083896273698	0.457591220973066	1.2899407656258	2.95031589472495	0.05	0.476207337672054	0.977613814930954
FOSL2	0.0814814814814815	0.0862933100893441	0.452157385253597	0.937566381214533	1.75637311565629	0.05	1	1
ELK3	0.037037037037037	0.0270211375027239	0.43926350589501	1.40096272110654	3.44750221022779	0.05	0.414638245096029	0.957698128489196
JUND	0.0444444444444444	0.0374809326650686	0.426628201282705	1.20140354665088	2.7440977478737	0.05	0.6419384969266	1
RBBP5	0.0592592592592593	0.0592721725866202	0.417935355295527	0.999782135076275	2.06043717159433	0.05	1	1
TAF1	0.237037037037037	0.324471562431902	0.413676029264022	0.639114936648869	0.963835505343956	0.05	0.0314518512139834	0.236937279145341
NFE2L2	0.037037037037037	0.0320331226846808	0.367227928276118	1.16788717454593	2.86144304697784	0.05	0.621552816673648	1
EGR1	0.0148148148148148	0.00501198518195685	0.357095464481743	3.17291842142515	13.2019668594727	0.05	0.145700426728774	0.633236470013519
SREBF2	0.0740740740740741	0.0958814556548268	0.347703209314195	0.748695677209412	1.43765356517448	0.05	0.459006877877392	0.976357342019658
TAF7	0.0444444444444444	0.0475049030289824	0.331488602160011	0.930684107735755	2.11637661614264	0.05	1	1
POU2F2	0.0222222222222222	0.0137284811505775	0.329598528784453	1.66415024724623	5.20943255875034	0.05	0.433192015728369	0.957698128489196
ETS2	0.0148148148148148	0.00544780998038788	0.327637569416558	2.89587356266444	11.9221293499172	0.05	0.166492725952475	0.673495244692632
ERF	0.0740740740740741	0.103290477228154	0.319672376025043	0.687980140565696	1.3202073987712	0.05	0.314762019438919	0.909808024151243
REL	0.0518518518518519	0.0645020701677926	0.30777721226719	0.78816244282691	1.69321088237778	0.05	0.721006278618866	1
MAFF	0.0148148148148148	0.00631945957724995	0.281189296921651	2.46476535511468	9.98016608107098	0.05	0.209376550652703	0.763211297540498
SIN3A	0.0814814814814815	0.132490738723033	0.277208018444614	0.573179922386322	1.06989396609901	0.05	0.0924418564667454	0.474814990033738
FOXO3	0.0296296296296296	0.0300719110917411	0.260419949792096	0.984394338202425	2.64109295793962	0.05	1	1
HCFC1	0.0740740740740741	0.133580300719111	0.237784760895604	0.510973257300124	0.978668149582336	0.05	0.0392927318177112	0.266836290916195
HIVEP2	0.0296296296296296	0.0333405970799739	0.233735982969455	0.882238203927224	2.36169951909405	0.05	1	1
ELK1	0.0444444444444444	0.0658095445630856	0.233448839505732	0.653438287302918	1.47924796824731	0.05	0.380122048022568	0.949344255816365
TGIF1	0.0222222222222222	0.0196121159293964	0.227828367701881	1.1407688342271	3.52012491135552	0.05	0.748101879839677	1
ATF4	0.0518518518518519	0.0939202440618871	0.203541980187731	0.519847390768208	1.1124990029963	0.05	0.0988910579566193	0.485856067352086
ETS1	0.0148148148148148	0.00915232076705164	0.192252105892782	1.65915552521286	6.51630462984546	0.05	0.351781562468608	0.946459918070301
SETDB1	0.0148148148148148	0.0102418827631292	0.171317228033206	1.47317514135877	5.74575295892398	0.05	0.648780125368241	1
HDAC6	0.0222222222222222	0.0268032251035084	0.164777031576921	0.820862878200211	2.51103139493406	0.05	1	1
BCL3	0.0148148148148148	0.013510568751362	0.129009003796394	1.10122603013515	4.23473543400086	0.05	0.704550071077653	1
EGR2	0.0222222222222222	0.0376988450642842	0.115427465407862	0.572767903442004	1.74015781582275	0.05	0.489287570866871	0.977613814930954
GTF3C2	0.0148148148148148	0.0161255175419481	0.107629295427757	0.915221229711586	3.49441753055716	0.05	1	1
IRF4	0.0222222222222222	0.0409675310525169	0.105800434692335	0.524485955607955	1.59137075762668	0.05	0.37578676307945	0.949344255816365
RUNX1	0.00740740740740741	0.00217912399215515	0.0834740826338176	3.68340121579276	26.9215652476469	0.05	0.258361464054813	0.87257659129331
PHF8	0.0222222222222222	0.0588363477881892	0.0720969991003433	0.356454000991797	1.07653868302032	0.05	0.0640291108431796	0.344537596441871
MEF2D	0.00740740740740741	0.0028328611898017	0.0641488874035816	2.76127879251072	18.9139489861159	0.05	0.322055937752652	0.909808024151243
GMEB1	0.0148148148148148	0.0272390499019394	0.0627622812298346	0.529541381595594	1.99249974172371	0.05	0.587571337844765	1
MITF	0.0148148148148148	0.0276748747003705	0.0617406124688963	0.520828748782654	1.9591382729671	0.05	0.58919582511948	1
ARNTL	0.0148148148148148	0.0344301590760514	0.0492242219787099	0.414359886959159	1.55238627739841	0.05	0.331155033868962	0.912695581151042
CHD1	0.00740740740740741	0.00414033558509479	0.0438186748475465	1.8389054266243	11.8152261020155	0.05	0.43360541207629	0.957698128489196
MEF2C	0.00740740740740741	0.00457616038352582	0.039625094983605	1.65423523803354	10.4963146890344	0.05	0.466577844858951	0.976357342019658
ATF5	0.00740740740740741	0.00653737197646546	0.0276762860718274	1.1386677093345	6.9759734393173	0.05	0.592890335979339	1
MAFG	0.00740740740740741	0.00719110917411201	0.0251422403686392	1.03125319744933	6.27121010953868	0.05	1	1
CEBPB	0.00740740740740741	0.00784484637175855	0.0230306824094412	0.942229248719144	5.6960151308696	0.05	1	1
HIVEP1	0.00740740740740741	0.00806275877097407	0.0224029476399885	0.915854074289946	5.52733456355866	0.05	1	1
NFYA	0.00740740740740741	0.00893440836783613	0.0201983138575564	0.823538381025589	4.93852413847123	0.05	1	1
RFX5	0.00740740740740741	0.00980605796469819	0.0183857234551177	0.74800446819846	4.46236898719738	0.05	1	1
NRF1	0.00740740740740741	0.0141643059490085	0.0126725385848641	0.511945099201075	3.00614939060389	0.05	1	1
GABPB1	0.00740740740740741	0.0152538679450861	0.0117540305980211	0.474314764563453	2.77805024382991	0.05	0.72358019995011	1
TFEB	0.00740740740740741	0.0156896927435171	0.0114223547840925	0.460744986210201	2.69614635692353	0.05	0.724410593189161	1
TBP	0.00740740740740741	0.0198300283286119	0.00899869898764432	0.36190931555773	2.103740848374	0.05	0.524173706529885	1
BACH1	0.00740740740740741	0.0246241011113532	0.00721074672796784	0.289358945089632	1.67379999786339	0.05	0.262545169061704	0.87257659129331
NFKB2	0.00740740740740741	0.0274569623011549	0.00644775131139715	0.2584913476923	1.49216840407034	0.05	0.185146758152983	0.697386122376236
ARNT	0.00740740740740741	0.0368271954674221	0.00476037503458454	0.190422827339905	1.0942432839066	0.05	0.0631297746467853	0.344537596441871
BHLHE40	0	0.00457616038352582	0	0	6.38449973079484	0.05	1	1
CEBPA	0	0.00348659838744825	0	0	8.6257304771684	0.05	1	1
CEBPZ	0	0.00348659838744825	0	0	8.6257304771684	0.05	1	1
CREB3L2	0	0.0472869906297668	0	0	0.545773457692	0.05	0.00289758009344188	0.0298355138523942
CREB5	0	0.0172150795380257	0	0	1.57073921673572	0.05	0.174450230205119	0.679754345282014
DDIT3	0	0.00348659838744825	0	0	8.6257304771684	0.05	1	1
FOXD4L1	0	0.0028328611898017	0	0	10.9168821350121	0.05	1	1
FOXN2	0	0.00108956199607758	0	0	36.263165363665	0.05	1	1
H1FX	0	0.00305077358901722	0	0	10.029657050459	0.05	1	1
KLF11	0	0.00152538679450861	0	0	23.0767220060175	0.05	1	1
KLF4	0	0.00501198518195685	0	0	5.78368299467327	0.05	1	1
KLF7	0	0.00370451078666376	0	0	8.06142396345429	0.05	1	1
MGA	0	0.00152538679450861	0	0	23.0767220060175	0.05	1	1
NFAT5	0	0.00217912399215515	0	0	14.8450119140826	0.05	1	1
RFX2	0	0.00152538679450861	0	0	23.0767220060175	0.05	1	1
RUNX2	0	0.000653737197646546	0	0	80.2669620079492	0.05	1	1
RUNX3	0	0.00631945957724995	0	0	4.50457092322833	0.05	1	1
SP4	0	0.00392242318587928	0	0	7.56544441234684	0.05	1	1
TCF7	0	0.000435824798431031	0	0	176.285807119232	0.05	1	1
TCF7L2	0	0.00544780998038788	0	0	5.28400846219017	0.05	1	1
TP53	0	0.00522989758117237	0	0	5.5226283355658	0.05	1	1
TRIM24	0	0.00130747439529309	0	0	28.2390129298899	0.05	1	1
UBTF	0	0.00108956199607758	0	0	36.263165363665	0.05	1	1
ZNF561	0	0.000435824798431031	0	0	176.285807119232	0.05	1	1
ZNF639	0	0.00152538679450861	0	0	23.0767220060175	0.05	1	1
