gene	ens	upregulated_in	relative_classic	relative_nonclassic	nonclassical_id_fdr	nonclassical_fluCor_pval	classical_id_fdr	classical_fluCor_pval	nonclassical_fluCor_cc	classical_mean	intermediate_id_pval	intermediate_id_fdr	classical_sd	intermediate_mean	intermediate_fluCor_cc	nonclassical_id_pval	minP
EIF2AK2	ENSG00000055332	nonsig	nonsig	nonsig	0.000568472247631216	0.00337266569616607	1.97552908756504e-98	7.95342599615766e-05	-0.886251279279185	0.493272859530006	7.21702062581876e-06	0.000343075764509197	0.234167093668383	0.419086179027488	-0.983370916966827	2.21443053587344e-05	2.21443053587344e-05
RSAD2	ENSG00000134321	nonsig	nonsig	nonsig	0.00069494437435779	0.00103480755583511	1.77470195133969e-59	0.0147809889828672	-0.924025680076476	0.112089650594484	0.00160417664483923	0.0274685321759971	0.102039054350217	0.113124696022457	-0.693995231156268	2.80158442484618e-05	2.80158442484618e-05
BST2	ENSG00000130303	nonsig	nonsig	nonsig	0.139068387440813	0.000459534572180002	4.46124946223439e-23	4.27866224361447e-05	-0.942307326758802	0.578850179961693	0.00666384440373971	0.0753211378540924	0.113916179612171	0.666750558571989	-0.918411946062425	0.0191525868081486	4.27866224361447e-05
OAS2	ENSG00000111335	nonsig	nonsig	nonsig	0.00104971971715707	0.00786598900206594	2.43685729875815e-59	0.00392129498221081	-0.847616226500703	0.17993429993259	0.000222244286857412	0.00599928842581568	0.112972596987318	0.194235706621744	-0.862512282591335	4.34619189932105e-05	4.34619189932105e-05
IFIT3	ENSG00000119917	nonsig	nonsig	nonsig	0.00208805928313504	0.00621026398194885	8.59305121626226e-41	0.000559811214045851	-0.85960465540119	0.0942949268458457	0.510257805526126	0.749063681880804	0.0761865902956908	0.156619110962037	-0.285736116707899	9.41878996750826e-05	9.41878996750826e-05
TRIM22	ENSG00000132274	nonsig	nonsig	nonsig	0.00249049994665089	0.114198486404328	1.01277900624979e-51	0.00195841228291532	-0.602146021315421	0.473918715823503	0.00121629233948622	0.0225063126850898	0.165562364268994	0.471029543745287	-0.751694333764165	0.000115054693547611	0.000115054693547611
HERC5	ENSG00000138646	nonsig	nonsig	nonsig	0.00500701787146483	0.0400062756995024	1.85261130066748e-68	0.00396507813348495	-0.729450431427155	0.120236824872927	0.0422384671242102	0.242290407041251	0.101614612197912	0.11756123823964	-0.251705693551078	0.000256406450162178	0.000256406450162178
ADAR	ENSG00000160710	nonsig	nonsig	nonsig	0.0215970817501174	0.0240144108702192	2.55755603817201e-41	0.000361465976142416	-0.77457595718802	0.595885626286631	0.0607965413556089	0.28941424095528	0.156985835761277	0.690475951994339	-0.77280457024649	0.00146835683286917	0.000361465976142416
IRF7	ENSG00000185507	nonsig	nonsig	nonsig	0.08786079990797	0.00698814204693478	2.26617109516789e-22	0.00102424095413098	-0.853746568046011	0.181318868650099	0.00646357784175475	0.0737844744174441	0.0736784681833536	0.213393891413927	-0.123631601220408	0.00990791266701756	0.00102424095413098
PML	ENSG00000140464	nonsig	nonsig	nonsig	0.465853975299059	0.125601038329002	8.4512314049704e-06	0.00199289294027282	-0.587579770859173	0.124348884396122	0.646318740018786	0.820912454455081	0.0344163676072057	0.141465765051022	0.0728955747505226	0.169927320049997	0.00199289294027282
C19orf66	ENSG00000130813	nonsig	nonsig	nonsig	0.90922599439223	0.645616999916703	3.50346950997424e-12	0.00211848927966872	-0.193802311246962	0.155576234720791	0.926864418478835	0.955441802510642	0.0548777488258364	0.136916304089721	-0.565848343180623	0.811943370019472	0.00211848927966872
IFI35	ENSG00000068079	nonsig	nonsig	nonsig	0.118055406029077	0.0445965636390799	1.20423268600201e-12	0.0027512356328647	-0.718635153868886	0.144955378407024	0.00882803568710285	0.0911701877416389	0.0522620342548832	0.136353649082793	-0.76892700718837	0.0151010074829087	0.0027512356328647
IFIT2	ENSG00000119922	nonsig	nonsig	nonsig	0.165721859893341	0.00571229646842793	9.52181726546127e-43	0.00672451240589746	-0.863605606154356	0.116857120415212	0.428232935640787	0.695476382193703	0.0941115176559416	0.192839438414879	0.162577348451973	0.0247109338109524	0.00672451240589746
NT5C3A	ENSG00000122643	nonsig	nonsig	nonsig	0.176072716420856	0.264019718530252	0.00302089466641844	0.00826557374926857	-0.449343659600979	0.163839005564601	0.435908185233433	0.701962293043265	0.02830912830431	0.200221913423829	-0.376710970275345	0.0269730049343783	0.00826557374926857
PDE12	ENSG00000174840	nonsig	nonsig	nonsig	0.791299122990834	0.856421342121066	0.00772676965269482	0.0084220817242311	0.0768776539907466	0.242920782583554	0.816972805865461	0.898889923404271	0.0303182105115007	0.216616616662027	-0.169745129240902	0.590050551192574	0.0084220817242311
