ens	gene	classical_nonclassical_pval	classical_nonclassical_fdr	classical_nonclassical_AUC	classical_nonclassical_logFC	upregulated_in	intermediate_nonclassical_pval	intermediate_nonclassical_fdr	intermediate_nonclassical_AUC	intermediate_nonclassical_logFC	intermediate_classical_pval	intermediate_classical_fdr	intermediate_classical_AUC	intermediate_classical_logFC	relative_classic	relative_nonclassic
ENSG00000148737	TCF7L2	1.67491538725693e-197	5.49013336580161e-195	0.139238459929121	-1.0351505176114	nonclassical	2.55025435251049e-07	8.0158337148429e-06	0.37599501934451	-0.290261859967774	7.10903115337896e-91	1.91902023310919e-88	0.776389026583767	0.731782178951304	up	nonsig
ENSG00000187109	NAP1L1	2.25455008636028e-189	6.89742023087171e-187	0.0592583669872506	-1.5048425961344	nonclassical	3.82243626613559e-22	1.94901778058847e-19	0.264953084004091	-0.552244782321351	1.54549979748198e-67	2.72780714255566e-65	0.80966004314964	0.948043298154412	up	nonsig
ENSG00000026025	VIM	5.00343196748822e-181	1.43504683117522e-178	0.927426410453107	1.41516110717575	classical	2.3702547563977e-06	5.66515576932763e-05	0.614999777649308	0.315999849846074	3.19781080274383e-107	1.33406852489011e-104	0.119105282290236	-1.10423252173928	down	up
ENSG00000170873	MTSS1	7.36481597236314e-176	1.9880670880691e-173	0.113590688061471	-1.19606876891142	nonclassical	5.62505882585988e-11	5.16267899037419e-09	0.340774669809223	-0.388573591296541	5.35669816010654e-71	1.29378357140679e-68	0.783095160536491	0.800559030083156	up	nonsig
ENSG00000188290	HES4	9.18293530385229e-168	2.34113833940993e-165	0.210894359455536	-0.769841149449498	nonclassical	0.0665796346994064	0.21144217552635	0.455707742251078	-0.102436637615633	7.36421986304386e-98	2.41388606796487e-95	0.741359449724059	0.683039006651342	up	nonsig
ENSG00000233392	AC104809.2	7.77176870177755e-167	1.87708666170822e-164	0.382691003150894	-0.2129497890714	nonclassical	0.00100058394119443	0.00929489819056934	0.441499533063548	-0.116884164641473	5.90452795380491e-68	1.08383515120043e-65	0.556838084986852	0.105261241845314	nonsig	nonsig
ENSG00000119535	CSF3R	1.24219971534229e-160	2.85022724685293e-158	0.900009826732516	1.37435699752793	classical	3.2876310795173e-06	7.43198966694823e-05	0.595922088317695	0.20235505072571	3.68744164062327e-92	1.05760435555126e-89	0.147362631655974	-1.15751780363418	down	up
ENSG00000103187	COTL1	4.86045489763529e-155	1.0621251202499e-152	0.107539322779634	-1.00505795648404	nonclassical	0.00508188715332634	0.034295264921492	0.430960110285943	-0.129149261121236	3.97080759293983e-96	1.21480240293339e-93	0.857625070224388	0.878182160106356	up	nonsig
ENSG00000055163	CYFIP2	2.85508155526589e-153	5.95544057141589e-151	0.287072140896325	-0.420674987541048	nonclassical	4.54974927470508e-05	0.000727484300404933	0.411860185885178	-0.170701268050616	1.19541207680067e-56	1.48263405957791e-54	0.633069903361801	0.242168955111237	up	nonsig
ENSG00000185201	IFITM2	5.34945014279214e-153	1.06733159588144e-150	0.109233641660274	-1.38160694703496	nonclassical	1.2784508974032e-10	1.02926511722514e-08	0.343709698937164	-0.469065195748933	7.88360362933282e-63	1.24751231224166e-60	0.786267650516238	0.950548549631585	up	nonsig
ENSG00000163221	S100A12	8.67796193956052e-153	1.65929863919348e-150	0.888181293705185	1.49293338380294	classical	0.0895914769466665	0.257713647509259	0.526748788188731	0.0393389319858574	4.08824820199755e-106	1.56341424991391e-103	0.122650728681292	-1.43619755776792	down	nonsig
ENSG00000142512	SIGLEC10	1.48531714722423e-149	2.72644815544472e-147	0.213905777484737	-0.685836427939765	nonclassical	0.000190388664043561	0.00238063645584714	0.404922844310046	-0.255706030512924	2.32979982295103e-68	4.64845712500969e-66	0.709053870957082	0.437264642123194	up	nonsig
ENSG00000268734	AC245128.3	2.42507585686436e-148	4.28025888736554e-146	0.883011164436104	1.35728132151647	classical	0.000398423476317414	0.0044056995971581	0.57639969760306	0.184116764562382	6.84766270758758e-90	1.74577356472888e-87	0.154250522847121	-1.16732143152695	down	nonsig
ENSG00000233276	GPX1	4.33666235499863e-148	7.3707198322552e-146	0.885399694420318	1.28044554710585	classical	4.57658401906893e-10	3.00027772335819e-08	0.646173344599102	0.381197542750102	6.43683559030891e-65	1.09402364903434e-62	0.2063369543152	-0.886513502479173	down	up
ENSG00000205542	TMSB4X	6.04784523644691e-148	9.91198635359128e-146	0.11702370461476	-0.751790213800805	nonclassical	3.41326383010524e-10	2.44741683068015e-08	0.34989104816116	-0.203540653985041	5.22939940177605e-68	9.99904743947936e-66	0.801091487623984	0.544809283248128	up	nonsig
ENSG00000204472	AIF1	2.40907102573539e-144	3.81214721968964e-142	0.116527613118371	-1.04129508962527	nonclassical	3.44784597425127e-06	7.5958215417688e-05	0.386356561568906	-0.231483395298862	4.54615832709529e-70	9.93443836335255e-68	0.809197388360927	0.801801005514893	up	nonsig
ENSG00000197471	SPN	6.77428326491221e-141	1.03623953008943e-138	0.191575320319781	-0.841079071229604	nonclassical	2.69167632296537e-05	0.000469661697569889	0.400809356517099	-0.22715709946098	2.08962420688269e-69	4.35876612972037e-67	0.746453373367135	0.60284746036646	up	nonsig
ENSG00000133112	TPT1	7.57778834480583e-139	1.12175711981657e-136	0.874877165843546	0.663994893603034	classical	1.04832955502715e-10	8.74688059639923e-09	0.659892382265309	0.258017844065144	4.09528923282044e-47	3.61409274796404e-45	0.249526723035015	-0.406704094455789	down	up
ENSG00000184489	PTP4A3	1.60193137904744e-138	2.29726971826523e-136	0.382454844579131	-0.196789491031638	nonsig	2.73058191167382e-05	0.000472854354440422	0.430626584248677	-0.125748192538378	5.34657871440824e-30	2.3367094971828e-28	0.542932476005684	0.0667740893453168	nonsig	nonsig
ENSG00000241280	AC106712.1	3.87897657898805e-135	5.39412833968969e-133	0.410988822884241	-0.14503981403668	nonsig	1.24124607008581e-05	0.000236351793179411	0.438497798728154	-0.086324492557034	2.34053531077743e-39	1.57951713840554e-37	0.533216725442709	0.059499008650845	nonsig	nonsig
ENSG00000213889	PPM1N	7.32681368450532e-129	9.88904352888092e-127	0.352378703251698	-0.294481907084683	nonclassical	1.75433015487406e-11	1.71289810228023e-09	0.377951705429804	-0.264728029500794	5.79693145732478e-05	0.000240961217913618	0.51880125200051	0.0243814315652531	nonsig	nonsig
ENSG00000224397	SMIM25	3.7510855686249e-128	4.9182090498341e-126	0.191895481604991	-0.835548683729764	nonclassical	1.05275894558446e-06	2.77650046050981e-05	0.380820029350291	-0.304601266661021	3.56256932338587e-46	2.97247829545777e-44	0.711461564245283	0.503213305550249	up	nonsig
ENSG00000125810	CD93	1.90031356941137e-126	2.42237193611913e-124	0.858060773585743	1.17581276965402	classical	3.79953522724518e-07	1.15470643429325e-05	0.606216925334638	0.27023335406552	1.12637378082669e-59	1.56634220612535e-57	0.216638104814914	-0.905760557600715	down	up
ENSG00000182853	VMO1	1.18878195078845e-125	1.47441091139678e-123	0.404691789289496	-0.220360022702774	nonclassical	2.05128043504143e-06	4.95438206126586e-05	0.429003424200649	-0.175212788136015	4.93237835052776e-22	1.24366396981164e-20	0.52826207033297	0.0457829755948569	nonsig	nonsig
ENSG00000169508	GPR183	4.2862320081408e-124	5.17618912772597e-122	0.847749044271015	1.32404325024535	classical	5.45724636656899e-25	4.17388392936417e-22	0.711455507626629	0.694172188502034	1.34462505262236e-20	3.10074591280604e-19	0.336777278928907	-0.613485777039413	down	up
ENSG00000107954	NEURL1	1.38544763958284e-123	1.63021005590913e-121	0.366538707816373	-0.234698834470498	nonclassical	0.0499245488873774	0.174191417730148	0.457775603682127	-0.0978038500604377	4.15888752966096e-61	6.15649512052065e-59	0.586355932603472	0.13771462904189	nonsig	nonsig
ENSG00000170458	CD14	8.92443807424377e-123	1.02385615806763e-120	0.849005915058992	1.11358671375804	classical	2.37188954014196e-11	2.26762522910656e-09	0.629385867390048	0.288563348337344	6.00505444447524e-56	6.72126703553583e-54	0.227217792381303	-0.831738053857624	down	up
ENSG00000108179	PPIF	4.08933334975825e-120	4.57706115659521e-118	0.845961212935784	1.25785060792106	classical	4.95801529713485e-22	2.27523321985518e-19	0.72568595188331	0.681717029808918	1.45609754127593e-23	4.22913393475649e-22	0.32620231232975	-0.575827048292854	down	up
ENSG00000076641	PAG1	4.27079869150879e-120	4.66635599888889e-118	0.214191069719082	-0.780560396003217	nonclassical	0.022323576698618	0.100434209284272	0.439742962600614	-0.167468480612389	4.03393231373773e-64	6.61132692419371e-62	0.738472578261834	0.60055769047601	up	nonsig
ENSG00000160712	IL6R	8.05333725111609e-120	8.59459642915637e-118	0.844089378887107	1.04429273014964	classical	3.54596426389962e-18	1.08482866713569e-15	0.700604793880909	0.488071484417168	4.52921219190721e-30	1.99851487967905e-28	0.30316399223873	-0.548947626252398	down	up
ENSG00000030582	GRN	8.48390715447601e-120	8.84832952997495e-118	0.844640943873508	1.05129610781021	classical	2.7948453213532e-15	5.82979326349538e-13	0.688664561746787	0.48358134031717	4.26728862194e-28	1.59993020158421e-26	0.30683926522866	-0.547209995323795	down	up
ENSG00000152217	SETBP1	4.28036229003089e-119	4.36501834421161e-117	0.39528190042667	-0.197341289356183	nonsig	0.0128825463040112	0.0681868569655219	0.456730555432027	-0.095011121649303	2.26025124766076e-56	2.65956230141418e-54	0.563721255210768	0.102327494615453	nonsig	nonsig
ENSG00000110077	MS4A6A	1.24073671247617e-117	1.23776973338112e-115	0.842811903659982	1.01271432941767	classical	2.81213640060094e-12	3.07259379579946e-10	0.646173344599102	0.322945472875593	4.04771082511155e-45	3.25876227656789e-43	0.25250565335826	-0.691704287373035	down	up
ENSG00000175550	DRAP1	1.60108228400549e-117	1.56326948963852e-115	0.181341253891069	-0.839664774485734	nonclassical	1.07548138649724e-15	2.35018289649325e-13	0.307333125806021	-0.411385224312433	1.96923343043811e-28	7.658315434136e-27	0.681724191652386	0.435054465668229	up	nonsig
ENSG00000111640	GAPDH	2.02562804281995e-116	1.93658481010433e-114	0.844230440047422	1.06023818785727	classical	3.43520559412408e-06	7.5958215417688e-05	0.611820162760706	0.259218210230095	1.538950270839e-56	1.85848494549478e-54	0.219458882735895	-0.794138554054574	down	up
ENSG00000137818	RPLP1	6.23742648311197e-116	5.84154084306134e-114	0.846167257327256	0.737026829791768	classical	2.5143483603791e-18	8.24167473269976e-16	0.709876817716903	0.374334359655775	1.52466714990404e-23	4.40043871126393e-22	0.317617233418783	-0.363222960728492	down	up
ENSG00000173706	HEG1	2.45972520166985e-115	2.25753579009253e-113	0.345162394679617	-0.305372285678582	nonclassical	0.0200717355085493	0.0939889737231967	0.45052697113888	-0.108912276741331	1.91153593624435e-55	2.08858057414889e-53	0.608719154380349	0.199446358865469	nonsig	nonsig
ENSG00000158869	FCER1G	7.56717691329302e-114	6.8089754617847e-112	0.162161690958772	-0.936738243984215	nonclassical	6.5550857539509e-07	1.82310839544731e-05	0.378129585983012	-0.243377317764741	2.09664870422164e-49	2.00448352159857e-47	0.758501281742603	0.690308627190909	up	nonsig
ENSG00000227507	LTB	2.62140471329576e-111	2.31338965948354e-109	0.34308927111004	-0.294581952173558	nonclassical	0.000568512901741272	0.00592933115020613	0.432205274158403	-0.120372512526587	4.85394703937656e-35	2.9308898636446e-33	0.589377351631802	0.169394685043114	nonsig	nonsig
ENSG00000028277	POU2F2	2.83052118220836e-111	2.45080409531211e-109	0.170235461190746	-1.15666507046492	nonclassical	7.85746976349961e-09	3.71731224172162e-07	0.361742340018677	-0.386454105027829	5.06264264803504e-38	3.22673154331009e-36	0.725093357127008	0.759743339872887	up	nonsig
ENSG00000008294	SPAG9	6.54179222515177e-111	5.55931194837427e-109	0.832707803693583	1.04825887376432	classical	4.02665403732785e-17	1.02657307651653e-14	0.704696046604705	0.532988850903278	6.62177825470198e-27	2.28476243690431e-25	0.31242416946384	-0.519747537895322	down	up
ENSG00000085265	FCN1	7.11050355621091e-111	5.93274560353669e-109	0.835050369928931	1.21490486424545	classical	7.81347459366351e-19	2.75815653156323e-16	0.716925334637791	0.770506782897124	4.45457583669339e-23	1.23891203118703e-21	0.327238564637123	-0.428566563234446	down	up
ENSG00000196839	ADA	1.75497479573456e-110	1.43813916743319e-108	0.295290142202329	-0.431868688417191	nonclassical	0.00346091624540604	0.0252498325121913	0.436074176190688	-0.131664214614573	1.69145809007064e-51	1.72491137229648e-49	0.652831872193975	0.302665583987255	up	nonsig
ENSG00000125740	FOSB	1.24201255069699e-109	9.99929051780443e-108	0.837578376116602	1.35062392475895	classical	1.93762771473204e-10	1.48196226381755e-08	0.663160937430515	0.620352946072994	4.61363392629045e-33	2.37887259412887e-31	0.287322786692538	-0.735832512436272	down	up
ENSG00000137331	IER3	1.17113866599579e-108	9.26612989354245e-107	0.82594479278274	1.2540961548497	classical	1.31047002172967e-06	3.34097051650969e-05	0.608373727042291	0.426097975906405	2.53499246839232e-40	1.76258794506854e-38	0.279622889137526	-0.845531765293951	down	up
ENSG00000166927	MS4A7	1.46444997982572e-108	1.13904423007123e-106	0.163228366923852	-1.1988579179267	nonclassical	7.69946558708404e-13	1.00950993083225e-10	0.329568194957086	-0.451621846360367	8.02240213685791e-33	4.04558279187261e-31	0.719423475481657	0.764093311826301	up	nonsig
ENSG00000138061	CYP1B1	3.80159543057329e-107	2.90758690515011e-105	0.816771062491679	1.68797179250895	classical	2.11997029295989e-07	6.89967636481767e-06	0.585983012407169	0.426606720229858	1.1218041345483e-43	8.43927733351166e-42	0.265431661638837	-1.23357801649795	down	up
ENSG00000105887	MTPN	1.55041629418961e-105	1.16637055312067e-103	0.180450508137169	-0.935267552641678	nonclassical	3.53270078982349e-10	2.47912875341226e-08	0.348468003735492	-0.370856764790603	5.41430209291011e-29	2.2383993066995e-27	0.693510086346491	0.548861537409818	up	nonsig
ENSG00000196405	EVL	4.00745394714426e-105	2.96616228442659e-103	0.282342629633621	-0.471456335789683	nonclassical	0.022838448416389	0.101951011461877	0.44905945657491	-0.0932047397895774	2.29799901088083e-58	3.10162278262711e-56	0.679526581405998	0.391594683131409	up	nonsig
ENSG00000206560	ANKRD28	5.29376672360133e-105	3.85604690390582e-103	0.823874839126879	1.00976205295877	classical	0.000725631942278711	0.00719206259852485	0.571330101836617	0.182427605571587	5.48744241232816e-55	5.85624958841256e-53	0.229120342175705	-0.83028194420835	down	nonsig
ENSG00000261371	PECAM1	9.25275239638068e-104	6.63451261671733e-102	0.182609219377049	-0.955318147711478	nonclassical	9.31017660036414e-11	7.91192600353168e-09	0.343442878107351	-0.444939113068922	1.32507993920005e-24	4.16492591848565e-23	0.677090562314407	0.521051948862244	up	nonsig
ENSG00000198682	PAPSS2	1.15159937919237e-103	8.13029161709811e-102	0.294505588557879	-0.489951739938315	nonclassical	0.0154118959807027	0.0779770569519788	0.443389513941388	-0.115555668072946	3.33680741980255e-57	4.25350256929829e-55	0.665823974015796	0.384831554491486	up	nonsig
ENSG00000110079	MS4A4A	2.05829349015138e-103	1.43113770095524e-101	0.360580854989127	-0.255340081596743	nonclassical	1.62705611885055e-05	0.000302289899975918	0.421310090274381	-0.117727145163543	3.39611266903099e-30	1.52791774884148e-28	0.576264865145571	0.137121154818181	nonsig	nonsig
ENSG00000163823	CCR1	3.83728447159395e-103	2.62825349852903e-101	0.819410015659374	1.02159540244605	classical	1.45078820919158e-12	1.77921801357703e-10	0.653688797972162	0.386055842903319	4.34874726803467e-32	2.1006738118959e-30	0.294033641612494	-0.634436699536976	down	up
ENSG00000142089	IFITM3	1.05399096754985e-102	7.1128890442445e-101	0.210983117039554	-0.98624959240571	nonclassical	0.00180084482611833	0.0148662024912273	0.430092942589051	-0.159807813225618	4.33835927208991e-54	4.52471152264104e-52	0.74188111660317	0.84396629119343	up	nonsig
ENSG00000026508	CD44	2.0510570520492e-98	1.36410156693534e-96	0.811797467872925	0.825024178387262	classical	3.51630860866622e-07	1.08297585269593e-05	0.629786098634767	0.329660220671402	4.63901941278368e-34	2.53434048634099e-32	0.29398407145656	-0.488340088150552	down	up
ENSG00000133657	ATP13A3	5.59859867837042e-98	3.67028133357745e-96	0.807644880906342	0.947776187279364	classical	1.09445122798729e-09	6.12492278687033e-08	0.632009605549873	0.337016628829405	4.50313998964112e-33	2.34828516050716e-31	0.296427171998999	-0.618287220679836	down	up
ENSG00000135046	ANXA1	6.50330939800859e-98	4.20333617288184e-96	0.814501404271776	1.18064025654981	classical	0.045046967938823	0.161356570858579	0.546204473695913	0.13584921773	3.50434074815888e-56	4.02035492332528e-54	0.224361607206084	-1.0499830238499	down	nonsig
ENSG00000100079	LGALS2	2.46042096949816e-97	1.56817664292044e-95	0.795345615692341	0.915086680675214	classical	3.94573706207777e-10	2.62781127946128e-08	0.60815137635078	0.263862106858864	3.00682812546629e-34	1.70349805774875e-32	0.297234457395631	-0.614214562595628	down	up
ENSG00000059804	SLC2A3	3.53404831319403e-97	2.22160927523934e-95	0.807830320858666	1.0581937996827	classical	0.00594437928605956	0.03880335212479	0.557655534308712	0.141826500243595	1.27336752519711e-57	1.66956673517987e-55	0.227583667341765	-0.915388570306572	down	nonsig
ENSG00000182578	CSF1R	5.92104221723582e-97	3.6718463155264e-95	0.231614500453298	-0.693251581686186	nonclassical	0.00236558124337764	0.0184306491101188	0.424445235024681	-0.186352395727889	2.87437594966872e-49	2.69194106796528e-47	0.713276776145897	0.526226557997221	up	nonsig
ENSG00000149577	SIDT2	1.17409646230472e-94	7.18390488735517e-93	0.304628708006568	-0.388462441779504	nonclassical	2.71514428847772e-07	8.47605247607093e-06	0.393894250011118	-0.161390961943688	6.26648819160035e-24	1.86733209813337e-22	0.611112684766855	0.21945941177315	up	nonsig
ENSG00000125772	GPCPD1	4.86474304226075e-93	2.93740866064928e-91	0.804568479645984	0.899597593542213	classical	1.55804789350969e-09	8.41162562743055e-08	0.642838084226442	0.328464297568422	1.76179481676554e-28	6.91015078131374e-27	0.302909060008214	-0.573336953010797	down	up
ENSG00000168264	IRF2BP2	1.31490897927421e-92	7.83651598167451e-91	0.80633412158521	0.948334451089739	classical	4.49351290329169e-12	4.79551877051292e-10	0.667163249877707	0.437947534842492	1.43979888709246e-23	4.20843126934223e-22	0.325350177744416	-0.505734159764312	down	up
ENSG00000161638	ITGA5	1.09975300571868e-90	6.47021351697814e-89	0.795204554532026	0.835356605280346	classical	4.81169227369219e-10	3.02477477314704e-08	0.637034731178014	0.327750205132463	4.28832893429632e-28	1.59993020158421e-26	0.314598174874068	-0.503999575226638	down	up
ENSG00000126458	RRAS	2.66098217478262e-90	1.54572749368069e-88	0.301344677397881	-0.414547656655609	nonclassical	9.50272886803552e-05	0.00136626678527641	0.414728509805666	-0.157060703446908	1.5227288851228e-32	7.59543788459621e-31	0.631334947904127	0.254112702658117	up	nonsig
ENSG00000005844	ITGAL	6.36888970700553e-90	3.65335435818099e-88	0.220039560523163	-0.745703573694256	nonclassical	4.65748402057548e-06	9.849398235217e-05	0.386489971983813	-0.259245090119342	3.08181155049342e-33	1.6255670350821e-31	0.694182824177017	0.478572936669061	up	nonsig
ENSG00000178996	SNX18	8.49378750966123e-90	4.81209763973272e-88	0.278622735889129	-0.495173306989497	nonclassical	1.99442195878106e-13	2.95238786091816e-11	0.33528260772891	-0.345063012550855	4.0675593051168e-08	2.96757228158681e-07	0.574702224991856	0.15147992334978	nonsig	nonsig
ENSG00000130066	SAT1	1.04042656955997e-89	5.82258235086664e-88	0.195743756854938	-0.944238588723123	nonclassical	1.91164459957921e-08	8.19863277333549e-07	0.367100991684084	-0.294825474560458	4.89110870936021e-29	2.04048162429581e-27	0.708699798414699	0.634526930500579	up	nonsig
ENSG00000084234	APLP2	3.17212287439484e-89	1.75383998440941e-87	0.796548597947164	0.871208883612678	classical	0.00266058724369916	0.0201808840683231	0.574821007693334	0.215687112221468	1.82021617332613e-46	1.54684667025808e-44	0.254795322465667	-0.656508209516326	down	nonsig
ENSG00000173372	C1QA	1.60726176557828e-88	8.78062409790322e-87	0.405878921975744	-0.279745557743769	nonclassical	0.100511675331088	0.278531448124615	0.476875528082892	-0.0382953687543005	1.10502531308713e-60	1.58467536304902e-58	0.581930025823691	0.257614768468085	up	nonsig
ENSG00000189159	JPT1	3.76538459789251e-87	2.03286469643865e-85	0.261952159662214	-0.577597861546418	nonclassical	5.53914592761334e-08	2.1007554265965e-06	0.367945924311825	-0.342557565644907	9.60918001553589e-19	1.92561253673774e-17	0.612852361191761	0.234770947086574	up	nonsig
ENSG00000122862	SRGN	8.00114215687101e-87	4.269446669521e-85	0.785422200807694	0.684599300772127	classical	0.0188239936252654	0.0897408573211603	0.561902432516565	0.171451698888782	3.92373923707275e-45	3.21536417123692e-43	0.268743420151921	-0.505889295969026	down	nonsig
ENSG00000125735	TNFSF14	1.57292968481826e-85	8.29675209612754e-84	0.775784078157393	0.834530098828575	classical	5.4641738664249e-08	2.08959115608532e-06	0.578423088895807	0.148383503250611	1.4775821537715e-40	1.04317300056268e-38	0.276381945132919	-0.688422221077135	down	nonsig
ENSG00000115165	CYTIP	5.86463086444819e-84	3.05827170874466e-82	0.220451649306106	-0.795446331506858	nonclassical	2.0908839259706e-09	1.09034844730444e-07	0.355516520656379	-0.39420483437218	3.27228650065142e-18	6.33608554915164e-17	0.645150858507891	0.385099569516317	up	nonsig
ENSG00000106003	LFNG	9.2697510389478e-84	4.77965028289118e-82	0.236312312578852	-0.713023200193884	nonclassical	2.16735969084552e-14	3.82538985434234e-12	0.315760217014275	-0.44594463944725	1.66385878244676e-12	2.09190354867073e-11	0.611882202425633	0.271105051051229	up	nonsig
ENSG00000254087	LYN	1.27877597938351e-83	6.52033663265656e-82	0.204323128324447	-0.792546159089413	nonclassical	3.09753234266105e-06	7.03691877251068e-05	0.3851781029039	-0.236420197938721	1.46852986215048e-33	7.92833357342185e-32	0.715656143630707	0.562927297857512	up	nonsig
ENSG00000188404	SELL	3.14814873267988e-81	1.58756643233715e-79	0.778281970164772	0.793570865216397	classical	0.00932277323816178	0.0547087038234328	0.550829368079335	0.0994680402436137	9.59608382464134e-47	8.30876012665644e-45	0.255982645724456	-0.698545202686797	down	nonsig
ENSG00000169442	CD52	3.43527010026914e-80	1.71352766197121e-78	0.219831931174833	-0.915176910107072	nonclassical	0.300808454688911	0.541762165842784	0.475652599279584	-0.078126278867622	7.32186907505961e-50	7.14894833732952e-48	0.757521681042012	0.823004413135983	up	nonsig
ENSG00000132510	KDM6B	3.0098047470647e-79	1.48516064347095e-77	0.780513589420096	0.861198270893036	classical	8.34431860535327e-10	4.79900126234862e-08	0.652310223684796	0.453098985741541	9.70183823640828e-17	1.70581362708343e-15	0.362058058455016	-0.409122708546759	down	up
ENSG00000171988	JMJD1C	1.76312842984218e-78	8.60744294100617e-77	0.773160974558272	0.786956722331854	classical	0.000128197388341072	0.00171515397987516	0.591363899141726	0.216016810228993	9.50078522042826e-31	4.35991033765453e-29	0.305028774295278	-0.57703275135819	down	up
ENSG00000123358	NR4A1	4.01681315392959e-78	1.94033216456665e-76	0.286886700944	-0.528881714327723	nonclassical	0.151125917978132	0.35932905037913	0.459154177969493	-0.131372399092793	5.17300927829983e-42	3.8288612222771e-40	0.672747272461182	0.400709285025564	up	nonsig
ENSG00000109103	UNC119	8.83050133966405e-78	4.22116360913734e-76	0.299547336321505	-0.417082545787207	nonclassical	6.34910296068943e-06	0.000128052455193458	0.396940454484813	-0.224427878186811	1.30973257567426e-17	2.42353338297145e-16	0.601614098696541	0.192060420010133	nonsig	nonsig
ENSG00000100906	NFKBIA	9.79608895157128e-78	4.63445898956296e-76	0.781198290782525	1.07353818766095	classical	2.51439648906297e-14	4.12091624582499e-12	0.687419397874327	0.647713525984554	1.06499696266895e-13	1.51778604400242e-12	0.375477407811312	-0.4346449332845	down	up
