gene	CD16neg_CD16pos_logFC	CD16neg_CD16pos_AUC	CD16neg_CD16pos_pval	CD16neg_CD16pos_fdr	color	ens
SERPINA1	-0.564674712586991	0.315700910410247	0	0	CD16+	ENSG00000197249
MIS18BP1	-0.478433721583774	0.321402405276823	0	0	CD16+	ENSG00000129534
SLC3A2	0.598057544984878	0.686777400322823	0	0	CD16-	ENSG00000168003
ITGA5	0.503585824936334	0.676653429270529	0	0	CD16-	ENSG00000161638
LMNA	0.630971686415389	0.685022412126837	0	0	CD16-	ENSG00000160789
ITGAX	0.52400188061722	0.679990883098094	0	0	CD16-	ENSG00000140678
ATP6V1F	0.571286540872636	0.682336341818436	0	0	CD16-	ENSG00000128524
JUN	0.64936720009009	0.678636648434405	0	0	CD16-	ENSG00000177606
PILRA	-0.491791120003125	0.32094019901432	0	0	CD16+	ENSG00000085514
SFPQ	0.496759191493909	0.680140312698015	0	0	CD16-	ENSG00000116560
C15orf48	0.851252640946621	0.677789880701514	0	0	CD16-	ENSG00000166920
TXNRD1	0.740156822342387	0.682654284519818	0	0	CD16-	ENSG00000198431
AC245128.3	0.567894162157163	0.673398593511239	0	0	CD16-	ENSG00000268734
TDP2	0.611367226185508	0.678053425785381	0	0	CD16-	ENSG00000111802
PTPRE	0.602610099887139	0.678070427450387	0	0	CD16-	ENSG00000132334
TCF7L2	-0.560739612826203	0.324292726880473	0	0	CD16+	ENSG00000148737
ANKRD28	0.493026188956563	0.671764197623961	0	0	CD16-	ENSG00000206560
LRRC25	-0.397700152254053	0.332040281532151	0	0	CD16+	ENSG00000175489
LIMS1	0.50414093338316	0.669433890047264	0	0	CD16-	ENSG00000169756
CLEC2B	-0.532666929731362	0.328198252213416	0	0	CD16+	ENSG00000110852
CTSL	0.811631067298859	0.675268622451851	0	0	CD16-	ENSG00000135047
NFKBIA	0.651015389424552	0.672229410983677	0	0	CD16-	ENSG00000100906
RGCC	0.558728226961461	0.667475036081311	0	0	CD16-	ENSG00000102760
RGS19	-0.396567872458317	0.335607469876211	0	0	CD16+	ENSG00000171700
NBPF19	0.568559516478106	0.675896180508489	0	0	CD16-	ENSG00000271383
LPXN	0.43519244247608	0.667427886339127	0	0	CD16-	ENSG00000110031
NRIP3	0.468310877194632	0.664000990645769	0	0	CD16-	ENSG00000175352
PPFIA1	0.470967420251235	0.666706838401217	0	0	CD16-	ENSG00000131626
LAPTM5	0.408794515139941	0.669828552280081	0	0	CD16-	ENSG00000162511
SLC2A3	0.498803524166069	0.666400384353287	0	0	CD16-	ENSG00000059804
SOAT1	0.493818337879658	0.669704567348877	0	0	CD16-	ENSG00000057252
TAOK3	-0.497268668236266	0.330565338902169	0	0	CD16+	ENSG00000135090
MSR1	-0.55491184516832	0.33400017641637	0	0	CD16+	ENSG00000038945
LUCAT1	0.480819034290046	0.6643542089106	0	0	CD16-	ENSG00000248323
PPP1R15A	0.580209775810132	0.671882862306252	0	0	CD16-	ENSG00000087074
MAPK6	0.463911664073975	0.667569605433377	0	0	CD16-	ENSG00000069956
SPHK1	0.399873586383962	0.660899748159464	0	0	CD16-	ENSG00000176170
UQCRB	-0.484376851457264	0.33134113143035	0	0	CD16+	ENSG00000156467
GPX4	0.561919223491569	0.670093292492327	0	0	CD16-	ENSG00000167468
PABPC1	0.363817327619781	0.667347427212441	0	0	CD16-	ENSG00000070756
ERBIN	0.473878925477423	0.663545222655501	0	0	CD16-	ENSG00000112851
ARFGAP3	0.482855661358769	0.658142856856467	0	0	CD16-	ENSG00000242247
LILRB1	-0.580982737800664	0.32945787897251	0	0	CD16+	ENSG00000104972
BCAT1	0.473343642879939	0.659610127533306	0	0	CD16-	ENSG00000060982
CTSC	-0.562157492122808	0.341497216738768	0	0	CD16+	ENSG00000109861
GNAI2	-0.492468112278109	0.331349188908777	0	0	CD16+	ENSG00000114353
IFITM3	-0.556347533178021	0.337971395257638	0	0	CD16+	ENSG00000142089
ST8SIA4	-0.423290062481174	0.333815818225754	0	0	CD16+	ENSG00000113532
BASP1	0.717181817221036	0.663406048028123	0	0	CD16-	ENSG00000176788
PLIN2	0.516804305720651	0.655673297547334	0	0	CD16-	ENSG00000147872
MYL6	-0.477581737523449	0.334017640711717	0	0	CD16+	ENSG00000092841
S100A10	0.406355046407153	0.663456821707973	0	0	CD16-	ENSG00000197747
VMO1	-0.509803395239123	0.356806734170602	0	0	CD16+	ENSG00000182853
DSE	0.521918450371087	0.66000016346272	0	0	CD16-	ENSG00000111817
NSMAF	0.456711740953092	0.655912130460522	0	0	CD16-	ENSG00000035681
RTN4	0.43634958815086	0.657081274435556	0	0	CD16-	ENSG00000115310
EVL	-0.419172544400967	0.344411325252415	0	0	CD16+	ENSG00000196405
PAPSS2	-0.354493235797983	0.350145512663041	0	0	CD16+	ENSG00000198682
ARPC5	-0.465942465628273	0.337813368443892	0	0	CD16+	ENSG00000162704
MS4A4A	-0.382848377878077	0.359501671560525	0	0	CD16+	ENSG00000110079
TGFBR2	-0.359645272497648	0.343452369661998	0	0	CD16+	ENSG00000163513
CD52	-0.516987847634012	0.345744587340676	0	0	CD16+	ENSG00000169442
NPC1	0.402255833588574	0.652671867556953	0	0	CD16-	ENSG00000141458
GPX1	0.523095060042432	0.656630980904316	0	0	CD16-	ENSG00000233276
ARPC3	-0.432928267517361	0.338724017716275	0	0	CD16+	ENSG00000111229
MEF2C	-0.464436015623084	0.348953391381104	0	0	CD16+	ENSG00000081189
CD47	-0.422128834886384	0.348048717750617	0	0	CD16+	ENSG00000196776
PKM	0.468447576312927	0.659593704156225	0	0	CD16-	ENSG00000067225
ALCAM	0.462937426177794	0.650780287752987	0	0	CD16-	ENSG00000170017
CORO1C	0.397864004779788	0.65234100975857	0	0	CD16-	ENSG00000110880
IRAK1	0.376114416193793	0.647030129109333	0	4.94065645841247e-324	CD16-	ENSG00000184216
ZBTB43	0.449675184624835	0.649802557081259	0	5.43472210425371e-323	CD16-	ENSG00000169155
HCK	-0.420273764830397	0.346696989001272	6.4228533959362e-323	2.1393042464926e-321	CD16+	ENSG00000101336
PTMA	-0.395756408204535	0.348961641622173	4.34777768340297e-322	1.44909453925238e-320	CD16+	ENSG00000187514
BTG2	-0.51139758922442	0.347038255982311	1.42290906002279e-321	4.72376163988816e-320	CD16+	ENSG00000159388
HM13	0.421893314839452	0.652477447156435	2.67289514400114e-321	8.82994122247476e-320	CD16-	ENSG00000101294
CSF1R	-0.385389283860935	0.350596191719565	1.43229630729377e-320	4.70310969589199e-319	CD16+	ENSG00000182578
CCL2	0.962616234676671	0.6508378081253	9.09056085065602e-319	2.96801932875666e-317	CD16-	ENSG00000108691
RIT1	0.436474538645731	0.65255019577745	8.87262365243211e-316	2.8803071451722e-314	CD16-	ENSG00000143622
PTGER4	-0.375788595853472	0.354652495990923	1.57242168355101e-314	5.07552703640229e-313	CD16+	ENSG00000171522
KDM6B	0.43807436313616	0.644293747751424	1.05062259868783e-313	3.37208304134699e-312	CD16-	ENSG00000132510
CLEC7A	-0.443239753518535	0.348639920773012	4.01199008109397e-313	1.28045593543666e-311	CD16+	ENSG00000172243
COX17	-0.407684580559307	0.349894689913533	1.3490235539099e-312	4.28145408367052e-311	CD16+	ENSG00000138495
PTPN6	-0.397977677418613	0.352244736384751	3.98887456342779e-312	1.25893313304584e-310	CD16+	ENSG00000111679
PLEKHB2	0.436971861103354	0.651523811814931	5.28441524150743e-311	1.65860568988975e-309	CD16-	ENSG00000115762
ARPC2	-0.437005849139829	0.340851192021045	1.2056334203587e-310	3.76329860497661e-309	CD16+	ENSG00000163466
ANPEP	0.418552514012256	0.646214588924414	7.78741978442263e-309	2.41750446968885e-307	CD16-	ENSG00000166825
CARD16	-0.542222939320229	0.34382505695365	1.27360468304453e-308	3.93225445889997e-307	CD16+	ENSG00000204397
RNF144B	-0.435789771011457	0.350116945239526	6.86830394388889e-308	2.10912620028283e-306	CD16+	ENSG00000137393
S100A4	-0.482369580378269	0.347836871607281	1.10629706076079e-307	3.3789643022484e-306	CD16+	ENSG00000196154
FAM107B	0.486949031753417	0.648585260998304	3.17153075033989e-305	9.63500865918802e-304	CD16-	ENSG00000065809
CREG1	0.481699441856121	0.654433216920119	5.73543462711436e-304	1.73313851684243e-302	CD16-	ENSG00000143162
STK17B	-0.36824888445338	0.357621079227142	7.95777183099862e-302	2.39196305671454e-300	CD16+	ENSG00000081320
GRB2	-0.429216514604933	0.348599055092951	1.7112824309684e-301	5.11673446859542e-300	CD16+	ENSG00000177885
ARRB2	-0.371195740914029	0.355859845521561	2.38645317546756e-301	7.0981363821106e-300	CD16+	ENSG00000141480
LILRB2	-0.543920073102024	0.346808945543628	5.25711981299376e-300	1.55550508633425e-298	CD16+	ENSG00000131042
TIPARP	0.498990739560953	0.645805315283348	6.05995522521007e-300	1.78376194996993e-298	CD16-	ENSG00000163659
CSGALNACT2	0.417683196715009	0.647552477316078	1.79221904072291e-299	5.24824555172517e-298	CD16-	ENSG00000169826
GPCPD1	0.459565384357658	0.644980214071395	1.95853211587059e-298	5.70585689756965e-297	CD16-	ENSG00000125772
SMAP2	-0.456029201512441	0.348884189592699	2.24882194547821e-298	6.51814156748038e-297	CD16+	ENSG00000084070
NAMPT	-0.45641599105138	0.354266083999174	1.1413422147688e-297	3.29135285385869e-296	CD16+	ENSG00000105835
SLC38A2	0.451804884786306	0.645695941760392	2.89616025345046e-296	8.30963959588524e-295	CD16-	ENSG00000134294
CFD	-0.503399460417223	0.348001028273036	1.53195852343217e-294	4.37339516161699e-293	CD16+	ENSG00000197766
IER3	0.541553628849015	0.640614178787196	3.78517165879421e-292	1.07517800968052e-290	CD16-	ENSG00000137331
RGS2	-0.37784076548601	0.358425015101025	1.70611558063669e-290	4.8221107530336e-289	CD16+	ENSG00000116741
TLR1	-0.301748412822974	0.361129821938208	8.69713151575358e-290	2.44596060103953e-288	CD16+	ENSG00000174125
PDXK	0.380800065631209	0.642438368771588	2.30203043228758e-288	6.44228319498794e-287	CD16-	ENSG00000160209
OAZ1	-0.353862286176981	0.350280677827469	9.36440511670889e-287	2.60780320921669e-285	CD16+	ENSG00000104904
CD44	0.414948185551332	0.645727284965948	1.35983036084159e-285	3.76838842923975e-284	CD16-	ENSG00000026508
LNPEP	-0.346262717230705	0.353402892889202	2.64541349566065e-285	7.29543401400388e-284	CD16+	ENSG00000113441
NDUFA4	-0.39086514283646	0.358071835388723	3.62741065177427e-285	9.95522701097998e-284	CD16+	ENSG00000189043
DOCK8	-0.363891367279418	0.356231029264607	1.18941637141837e-283	3.24859346443637e-282	CD16+	ENSG00000107099
WARS	-0.478237086369237	0.356015636288662	1.08577818706473e-282	2.95134252665778e-281	CD16+	ENSG00000140105
CD9	0.46466979625284	0.638488276715861	4.02751629699153e-282	1.08953905158142e-280	CD16-	ENSG00000010278
FLNA	0.385904582045193	0.644596038126292	4.51898587322874e-282	1.21669946662612e-280	CD16-	ENSG00000196924
CD93	0.418281800164493	0.639280608278708	9.06812537566382e-280	2.43000095562016e-278	CD16-	ENSG00000125810
SYNJ2	0.337070126081663	0.633111355585544	2.41917023038838e-276	6.45225637504031e-275	CD16-	ENSG00000078269
UTRN	-0.362298241340342	0.358339235725425	6.47534514715707e-275	1.71899232621488e-273	CD16+	ENSG00000152818
JMJD1C	0.453093812682733	0.641485118955368	8.48845427388807e-275	2.24292598743997e-273	CD16-	ENSG00000171988
AHR	0.418878207671849	0.640277114031748	6.21815572691499e-274	1.63543253169455e-272	CD16-	ENSG00000106546
ATP6V1B2	0.415267308355125	0.643769086392978	6.85632542828905e-274	1.79496703954426e-272	CD16-	ENSG00000147416
LTA4H	-0.403287107665826	0.361878666249066	8.62360250803228e-274	2.2472791673455e-272	CD16+	ENSG00000111144
CCNL1	0.43570674804068	0.640955561425821	1.28042096236707e-273	3.321493829775e-272	CD16-	ENSG00000163660
SMIM25	-0.429162841193258	0.359255744982119	1.87567940459323e-269	4.84351577158848e-268	CD16+	ENSG00000224397
CORO1A	-0.326985227696167	0.36626902817866	7.10002983327078e-268	1.82512531596439e-266	CD16+	ENSG00000102879
RRAS	-0.315988896541175	0.363690789292081	2.83256495924119e-266	7.24855924930171e-265	CD16+	ENSG00000126458
BZW1	0.377328439624245	0.638782201192075	5.12649953950855e-266	1.30599299928018e-264	CD16-	ENSG00000082153
EAF1	0.368072684467029	0.635872063588849	1.39315118362048e-265	3.53325530095897e-264	CD16-	ENSG00000144597
NCKAP1L	-0.323877643274155	0.368664412423228	1.76585389163693e-265	4.45858487039519e-264	CD16+	ENSG00000123338
SLC8A1	-0.365767603625245	0.360331052103125	6.80606665885423e-265	1.71085241986504e-263	CD16+	ENSG00000183023
CD86	-0.328576236537804	0.365788008282317	7.97741614704755e-265	1.99646260490646e-263	CD16+	ENSG00000114013
CLN8	0.36463531074014	0.637793714364934	1.80241923505944e-264	4.49102792735656e-263	CD16-	ENSG00000182372
RALGDS	0.35757354671486	0.634145218738564	2.99011905777768e-264	7.41784557521186e-263	CD16-	ENSG00000160271
CALM1	-0.456075989390132	0.361794159106901	5.30694676972813e-262	1.31081585212279e-260	CD16+	ENSG00000198668
MT-ND6	-0.416012423935853	0.361298103724498	1.37986653790355e-260	3.393515931528e-259	CD16+	ENSG00000198695
SLC6A6	0.365200573330283	0.636311331096978	6.24561408170187e-260	1.52936782750642e-258	CD16-	ENSG00000131389
LILRB4	0.349725687039494	0.632398596441232	3.43100752249157e-259	8.36547370612673e-258	CD16-	ENSG00000186818
RPS13	0.316449225653833	0.639969580513023	5.34961931942911e-259	1.29876869032813e-257	CD16-	ENSG00000110700
TALDO1	0.447015701001222	0.642620799335786	2.13544336508138e-258	5.16232074767114e-257	CD16-	ENSG00000177156
NOTCH2	0.37140184708674	0.635859379807018	4.54492801550225e-258	1.09405661254533e-256	CD16-	ENSG00000134250
MT2A	-0.594035725708455	0.356886846324533	6.39899007656714e-256	1.53386762130708e-254	CD16+	ENSG00000125148
MAFG	0.404482499120991	0.638025916243244	1.29112449922117e-254	3.0818816302837e-253	CD16-	ENSG00000197063
PIK3AP1	-0.399741092549974	0.362604610358077	4.65340432214124e-251	1.10610836627965e-249	CD16+	ENSG00000155629
ZNF106	-0.319493423971657	0.369319304222473	5.88875307170992e-250	1.39391692501594e-248	CD16+	ENSG00000103994
CSTA	0.390190370531971	0.634423953518604	2.35554820687547e-248	5.55264288931904e-247	CD16-	ENSG00000121552
MED13	0.372607979669208	0.634371059449695	6.04180914438984e-248	1.4183271797222e-246	CD16-	ENSG00000108510
PRNP	0.363259875187893	0.630988807584177	6.24222185442833e-247	1.45934412983572e-245	CD16-	ENSG00000171867
GPR183	0.449610288860296	0.629535300159962	9.65285279445793e-247	2.24745314448005e-245	CD16-	ENSG00000169508
STXBP2	-0.396841610011825	0.364842970154637	2.17545196928411e-246	5.04438475000095e-245	CD16+	ENSG00000076944
RPL31	0.366542042495183	0.63635828807652	3.59271112907991e-246	8.2968259854889e-245	CD16-	ENSG00000071082
SIGLEC10	-0.301933475813037	0.372552936091165	5.0693912916483e-246	1.16595999707912e-244	CD16+	ENSG00000142512
MYO1G	-0.354624227859066	0.368557930339899	5.57564933502888e-246	1.2772283819476e-244	CD16+	ENSG00000136286
ST3GAL6	0.30905182359979	0.627754134797219	7.16635628702977e-244	1.63502289424163e-242	CD16-	ENSG00000064225
ANXA2	0.300111613185153	0.63147241049992	6.71284145804729e-243	1.52542609292664e-241	CD16-	ENSG00000182718
EIF1	0.236806968089839	0.631390216509457	1.50409676260594e-241	3.40429231408952e-240	CD16-	ENSG00000173812
GPNMB	0.498780672107005	0.63060046796601	4.94456485030907e-240	1.11468543311925e-238	CD16-	ENSG00000136235
HLA-E	-0.32946981613367	0.365488570794548	6.27653837959696e-240	1.40936816341856e-238	CD16+	ENSG00000204592
FOXP1	-0.311257562336274	0.373797989994539	3.99334724076251e-239	8.9315770373113e-238	CD16+	ENSG00000114861
TUBA1A	-0.334756811897718	0.374224805036009	8.9053824529283e-239	1.98397951823869e-237	CD16+	ENSG00000167552
CTSD	0.485704863585884	0.635337494230614	1.13135545496225e-238	2.51063685142222e-237	CD16-	ENSG00000117984
MTPN	-0.413709016843021	0.366675564590212	4.62594044611032e-237	1.02256683557789e-235	CD16+	ENSG00000105887
TYROBP	-0.403165636306531	0.357590969702493	7.08834233593937e-237	1.56080902366163e-235	CD16+	ENSG00000011600
ADAM8	0.310362279581271	0.626119931672583	2.77889541464865e-236	6.09533005815438e-235	CD16-	ENSG00000151651
CDKN1C	-0.377501088001463	0.379860722051846	3.71991592014108e-236	8.12801628550868e-235	CD16+	ENSG00000129757
AGAP3	0.27990840614986	0.623400397769567	1.04518365749968e-235	2.27497638247337e-234	CD16-	ENSG00000133612
BNIP3L	0.368620322569679	0.63205713669755	4.80699096600802e-235	1.04230975869813e-233	CD16-	ENSG00000104765
SIPA1L1	-0.323250446057851	0.371380592256277	6.93523160739083e-235	1.49806276660021e-233	CD16+	ENSG00000197555
HK2	0.363795738336819	0.627484806834099	1.01685815830785e-234	2.1881709080859e-233	CD16-	ENSG00000159399
AFF4	0.341097784330941	0.628135110882469	2.13875875711992e-234	4.58501452799925e-233	CD16-	ENSG00000072364
DHRS9	0.340471456669245	0.622573947219121	6.42352613470198e-233	1.37188165305427e-231	CD16-	ENSG00000073737
FNDC3A	0.333783283054212	0.625623529317424	1.20211240971943e-232	2.55775303356407e-231	CD16-	ENSG00000102531
DOCK2	-0.333236560383016	0.372850792925272	8.09996880588977e-232	1.7170120442634e-230	CD16+	ENSG00000134516
TUBA1B	-0.453232154495726	0.364267689326455	8.45949546260378e-231	1.78655738747406e-229	CD16+	ENSG00000123416
FGR	0.350398930494882	0.628476763388792	4.51351631575797e-230	9.49677266289691e-229	CD16-	ENSG00000000938
RBPJ	0.370928858212375	0.630268183724079	7.93860631659698e-230	1.66417795146072e-228	CD16-	ENSG00000168214
SYNGR2	-0.33765022826869	0.370003920021084	2.17015449830113e-229	4.53259106795908e-228	CD16+	ENSG00000108639
NINJ1	0.358016343164932	0.626418598109785	8.23485850340171e-229	1.71363484094589e-227	CD16-	ENSG00000131669
TPM3	-0.387488833574664	0.367492993849021	1.53633472580994e-228	3.18537137858634e-227	CD16+	ENSG00000143549
DBI	0.355632288937195	0.626453526700479	4.24549971157385e-228	8.77043049507318e-227	CD16-	ENSG00000155368
IRAK3	-0.316779463434892	0.380415608592526	1.33880447784283e-227	2.75570588355983e-226	CD16+	ENSG00000090376
ATP6V1A	0.384878644735812	0.632926303449418	8.03755090800473e-227	1.64842334687268e-225	CD16-	ENSG00000114573
MYL12A	-0.413923556559436	0.366590710475293	1.34351989484856e-226	2.74551673476074e-225	CD16+	ENSG00000101608
SOD1	-0.313999463852331	0.377826382235365	2.97262927396157e-226	6.05286985855756e-225	CD16+	ENSG00000142168
RPL13	0.27204937704054	0.631766951816587	7.52148984744801e-226	1.52605656511968e-224	CD16-	ENSG00000167526
ATG3	-0.302004395562058	0.375846979771797	1.48569874625283e-225	3.0036493158229e-224	CD16+	ENSG00000144848
RUNX1	0.36415957273124	0.624968560413123	6.03671491309071e-225	1.21611976671168e-223	CD16-	ENSG00000159216
MPEG1	-0.316821916762736	0.377444095364151	2.61470400884929e-223	5.24881041493743e-222	CD16+	ENSG00000197629
YWHAG	0.321706753805131	0.624592634709088	6.05862764258678e-223	1.21193886047662e-221	CD16-	ENSG00000170027
RNF149	-0.32595776785181	0.373706967475082	2.86278778303194e-222	5.70649031417691e-221	CD16+	ENSG00000163162
GLUL	-0.382517271960737	0.376151005010441	2.563409521274e-221	5.09186345816708e-220	CD16+	ENSG00000135821
ZNF207	0.363594659909562	0.628442297428438	2.73699641619693e-221	5.41772705240936e-220	CD16-	ENSG00000010244
CYBA	-0.413573523671916	0.369342667054659	8.45393207822807e-221	1.66759681029215e-219	CD16+	ENSG00000051523
LGALS2	0.353522635557348	0.62383018135572	3.79338112986415e-220	7.45681598572952e-219	CD16-	ENSG00000100079
