category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
GO:0019079	1.49716134462999e-06	0.999999821456693	11	62	viral genome replication	BP	0.00150913863538703	6.03094384707288	1.49716134462999e-06	135	4589	7.65080677128583	[3.5-15.3]	3.50829753841856	ISG15,ADAR,RSAD2,EIF2AK2,PLSCR1,IFITM3,DDB1,OAS3,BST2,MX1,APOBEC3A
GO:0050792	2.02142361755929e-06	0.999999689164903	13	91	regulation of viral process	BP	0.00191773647670566	4.85608465608466	2.02142361755929e-06	135	4589	5.97280280495739	[3-11.2]	2.9629867347812	ISG15,ADAR,RSAD2,EIF2AK2,PLSCR1,IFITM3,DDB1,OAS3,LGALS9,BST2,ZFP36,MX1,APOBEC3A
GO:0009607	2.73460516322083e-06	0.999999184070505	27	352	response to biotic stimulus	BP	0.00245020622624586	2.60738636363636	2.73460516322083e-06	135	4589	3.17489862587696	[2-5]	1.97089857268595	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PLSCR1,FAM46A,HDAC2,NT5C3A,TRIB1,IFIT3,IFITM3,IRF7,TRIM22,OAS3,IRF9,B2M,MT2A,LGALS9,BST2,ZFP36,MX2,MX1,APOBEC3A,TLR8
GO:0043900	3.11988862526846e-06	0.999999337990673	17	158	regulation of multi-organism process	BP	0.00264829282885946	3.65743084857009	3.11988862526846e-06	135	4589	4.40406565357001	[2.4-7.6]	2.41517531692178	ISG15,ADAR,RSAD2,EIF2AK2,PLSCR1,HDAC2,TRIB1,IFITM3,DDB1,ARHGDIB,OAS3,LGALS9,BST2,ZFP36,MX1,APOBEC3A,TIMP1
GO:0043903	3.58617206767343e-06	0.999999416004426	13	95	regulation of symbiosis, encompassing mutualism through parasitism	BP	0.00289188915537185	4.6516179337232	3.58617206767343e-06	135	4589	5.67585510623429	[2.8-10.6]	2.82140318559904	ISG15,ADAR,RSAD2,EIF2AK2,PLSCR1,IFITM3,DDB1,OAS3,LGALS9,BST2,ZFP36,MX1,APOBEC3A
GO:0060590	4.00400146184225e-06	0.999999754728519	7	24	ATPase regulator activity	MF	0.00307507312269485	9.91450617283951	4.00400146184225e-06	135	4589	14.243614546782	[4.9-36.9]	4.90534958145179	GRPEL1,DNAJA1,BAG3,HSPH1,AHSA1,PFN1,DNAJB1
GO:0019221	6.72659628421071e-06	0.999997978766427	25	321	cytokine-mediated signaling pathway	BP	0.00493120658507956	2.64739817699319	6.72659628421071e-06	135	4589	3.19128274385586	[1.9-5.1]	1.94821317893422	ISG15,IFI6,ADAR,RSAD2,PARP14,HLA-DQA1,CDKN1A,CEBPD,IFIT3,IFITM3,IRF7,TRIM22,OAS3,UBC,IRF9,HSP90AA1,B2M,MT2A,SERPINB2,PRKACA,BST2,MX2,MX1,TIMP1,IL2RG
GO:0006950	7.31671725435344e-06	0.999996848653563	62	1292	response to stress	BP	0.00513060938600923	1.63122348354546	7.31671725435344e-06	135	4589	2.22576155672769	[1.6-3.2]	1.55009710819453	ISG15,UBE4B,IFI6,IFI44L,LRRC8D,ADAR,CD84,H3F3A,RSAD2,ID2,EIF2AK2,LNPK,ARL6IP5,PARP14,PLSCR1,ZMAT3,UBE2D3,DUSP1,HLA-DQA1,CDKN1A,DST,HDAC2,ACTB,HDAC9,NT5C3A,TRIB1,PLEC,DNAJA1,IFIT3,BAG3,IFITM3,IRF7,TRIM22,PRPF19,DDB1,OAS3,UBC,HSPH1,CUL4A,IRF9,REC8,ERO1A,HSP90AA1,B2M,RBBP6,KIF22,MT2A,LGALS9,SPAG9,H3F3B,SERPINB2,PRKACA,DNAJB1,BST2,ZFP36,RASSF2,MX2,MX1,APOBEC3A,TLR8,TIMP1,ARHGEF6
GO:0050790	7.66447361584872e-06	0.999996964604595	44	779	regulation of catalytic activity	BP	0.00515052626985034	1.91999239290639	7.66447361584872e-06	135	4589	2.44586387721694	[1.7-3.6]	1.65167349836568	IFI6,ADAR,RGS2,EIF2AK2,ANXA4,ARL6IP5,PLSCR1,CCNL1,GRPEL1,TBC1D1,TBC1D9,DUSP1,CDKN1A,STXBP5,ACTB,HDAC9,LYPLA1,TRIB1,ASAP1,DNAJA1,GTPBP4,BAG3,PTPRJ,ARHGDIB,OAS3,TESC,UBC,HSPH1,AHSA1,HSP90AA1,PFN1,LGALS9,SPAG9,RALBP1,SERPINB2,INSR,PRKACA,DNAJB1,BST2,PDCD5,ZFP36,RASSF2,TIMP1,ARHGEF6
GO:0000774	8.18252121651048e-06	0.999999909902503	4	6	adenyl-nucleotide exchange factor activity	MF	0.00527870808719524	22.6617283950617	8.18252121651048e-06	135	4589	67.5908869040165	[9.6-771.5]	9.59647772227908	GRPEL1,BAG3,HSPH1,PFN1
GO:0030234	9.79845084498822e-06	0.999996914884695	26	342	enzyme regulator activity	MF	0.006078054431845	2.58423218540178	9.79845084498822e-06	135	4589	3.122349434363	[1.9-4.9]	1.92322568397354	RGS2,EIF2AK2,ANXA4,CCNL1,GRPEL1,TBC1D1,TBC1D9,CDKN1A,STXBP5,TRIB1,ASAP1,DNAJA1,BAG3,ARHGDIB,TESC,HSPH1,AHSA1,HSP90AA1,PFN1,RALBP1,SERPINB2,DNAJB1,BST2,PDCD5,TIMP1,ARHGEF6
GO:0060589	1.69253273464144e-05	0.999996294676862	15	139	nucleoside-triphosphatase regulator activity	MF	0.0101100622015916	3.66826538768985	1.69253273464144e-05	135	4589	4.36220445006654	[2.3-7.8]	2.29944297686277	RGS2,GRPEL1,TBC1D1,TBC1D9,STXBP5,ASAP1,DNAJA1,BAG3,ARHGDIB,HSPH1,AHSA1,PFN1,RALBP1,DNAJB1,ARHGEF6
GO:0034097	2.32403448648342e-05	0.999991542772516	31	484	response to cytokine	BP	0.0133864386421445	2.17721150902969	2.32403448648342e-05	135	4589	2.63190298013714	[1.7-4]	1.68251029249691	ISG15,IFI6,ADAR,RSAD2,EIF2AK2,PARP14,PLSCR1,DUSP1,HLA-DQA1,CDKN1A,CEBPD,IFIT3,IFITM3,IRF7,TRIM22,STIP1,OAS3,UBC,IRF9,HSP90AA1,B2M,MT2A,LGALS9,SERPINB2,PRKACA,BST2,ZFP36,MX2,MX1,TIMP1,IL2RG
GO:0045087	2.82257074033193e-05	0.999990487828837	26	375	innate immune response	BP	0.0156973865172667	2.35681975308642	2.82257074033193e-05	135	4589	2.80463399490856	[1.7-4.4]	1.72979292683655	ISG15,IFI6,ADAR,CD84,RSAD2,EIF2AK2,PARP14,PLSCR1,UBE2D3,HLA-DQA1,IFIT3,IFITM3,IRF7,TRIM22,OAS3,UBC,IRF9,B2M,MT2A,LGALS9,PRKACA,BST2,MX2,MX1,APOBEC3A,TLR8
GO:0065009	3.481938639658e-05	0.999984732343599	49	963	regulation of molecular function	BP	0.018713512911015	1.72963347563555	3.481938639658e-05	135	4589	2.20631705010197	[1.5-3.2]	1.5089551499848	IFI6,ADAR,RGS2,ID2,EIF2AK2,ANXA4,ARL6IP5,PLSCR1,CCNL1,GRPEL1,TBC1D1,TBC1D9,DUSP1,CDKN1A,HDAC2,STXBP5,ACTB,HDAC9,LYPLA1,TRIB1,ASAP1,LY6E,DNAJA1,GTPBP4,BAG3,TRIM22,PTPRJ,ARHGDIB,OAS3,TESC,UBC,HSPH1,AHSA1,HSP90AA1,B2M,PFN1,LGALS9,SPAG9,RALBP1,SERPINB2,INSR,PRKACA,DNAJB1,BST2,PDCD5,ZFP36,RASSF2,TIMP1,ARHGEF6
GO:0071345	3.65206472764599e-05	0.999986776518307	29	445	cellular response to cytokine stimulus	BP	0.018713512911015	2.21524760715772	3.65206472764599e-05	135	4589	2.65481175264204	[1.7-4.1]	1.67560931805228	ISG15,IFI6,ADAR,RSAD2,PARP14,DUSP1,HLA-DQA1,CDKN1A,CEBPD,IFIT3,IFITM3,IRF7,TRIM22,STIP1,OAS3,UBC,IRF9,HSP90AA1,B2M,MT2A,LGALS9,SERPINB2,PRKACA,BST2,ZFP36,MX2,MX1,TIMP1,IL2RG
GO:0051704	3.71299859345535e-05	0.999984159899483	44	805	multi-organism process	BP	0.018713512911015	1.85798021624109	3.71299859345535e-05	135	4589	2.34587094427772	[1.6-3.4]	1.58449271853881	ISG15,IFI6,IFI44L,IFI44,ADAR,RGS2,H3F3A,RSAD2,EIF2AK2,SP110,PLSCR1,FAM46A,HDAC2,NT5C3A,TRIB1,SMARCA2,DNAJA1,IFIT3,IFITM3,IRF7,TRIM22,DDB1,ARHGDIB,OAS3,UBC,CUL4A,IRF9,REC8,B2M,MT2A,LGALS9,H3F3B,INSR,PRKACA,BST2,ZFP36,RPL28,RNF114,MX2,MX1,APOBEC3A,TLR8,TIMP1,IL2RG
GO:0002376	4.78709044852657e-05	0.999978218209329	54	1124	immune system process	BP	0.0233958165920717	1.63309608540925	4.78709044852657e-05	135	4589	2.1080600095969	[1.5-3]	1.45506747421192	ISG15,IFI6,IFI44L,IFI44,ADAR,CD84,FCGR2A,H3F3A,RSAD2,ID2,EIF2AK2,ARPC2,PARP14,PLSCR1,UBE2D3,GAPT,DUSP1,HLA-DQA1,CDKN1A,ACTB,HDAC9,NT5C3A,IMPDH1,CEBPD,TRIB1,IFIT3,IFITM3,IRF7,TRIM22,PTPRJ,METTL7A,BIN2,OAS3,TESC,UBC,HSPH1,CUL4A,IRF9,HSP90AA1,B2M,KIF22,MT2A,LGALS9,H3F3B,PRKACA,BST2,ZFP36,RASSF2,MX2,MX1,APOBEC3A,PRKX,TLR8,IL2RG
GO:0001649	6.77704136019135e-05	0.999989939714893	9	62	osteoblast differentiation	BP	0.0321470950168136	4.93440860215054	6.77704136019135e-05	135	4589	5.92591164934029	[2.5-12.5]	2.51350101528404	ADAR,H3F3A,ID2,CEBPD,GTPBP4,H3F3B,PRKACA,TPM4,RASSF2
