TF	PctBinding	PctBindingBackground	LowerCI	OR	UpperCI	alpha	P	module_pre_reordering	FDR
STAT1	0.944444444444444	0.201979307242465	17.607024576974	68.8323010562528	591.23746197075	0.05	7.05584579442745e-22	5	7.97310574770302e-20
IRF2	0.972222222222222	0.256110361373519	17.4043352041518	103.464938169177	4115.40513299817	0.05	4.12657588819272e-20	5	3.39129509356929e-18
STAT3	0.777777777777778	0.0859199280251912	17.2326052241723	39.0379523727675	99.5410788332247	0.05	1.20809574299732e-23	5	2.18423710333916e-21
IRF7	0.916666666666667	0.219073324336482	12.5378661799488	40.0714064702646	204.314666763249	0.05	4.61583454301437e-19	5	3.20978032837307e-17
PRDM1	0.527777777777778	0.055930424351477	9.64972241280855	19.7904146885823	40.949263618837	0.05	3.67448991575975e-15	5	1.58178042087944e-13
ATF5	0.138888888888889	0.0067476383265857	7.65598104446919	26.4895746182545	73.8972958732326	0.05	3.59213412551876e-06	5	8.77645743099719e-05
HIVEP2	0.194444444444444	0.0299895036737142	2.93852155888853	8.0482178592949	19.0832961804978	0.05	7.82732970526276e-05	5	0.0014457239685622
ETV7	0.222222222222222	0.0458839406207827	2.36994302558959	6.06993402459242	13.8197986597965	0.05	0.000175912297000069	5	0.00289135848160113
POLR2A	0.0555555555555556	0.355825461088619	0.012299640795048	0.105755109863351	0.413208350980956	0.05	3.52471620254948e-05	5	0.000708076321578829
BCLAF1	0	0.244564402459139	0	0	0.331444483579928	0.05	5.42466162326435e-05	5	0.00104338172498531
TAF1	0	0.270655270655271	0	0	0.289058222975386	0.05	1.51540244559138e-05	5	0.000318586932747583
FOXD4L1	0.103448275862069	0.00509821562453141	4.5199445824977	24.5107229112794	86.6796171911008	0.05	0.000404137717633633	6	0.00608900827901341
IRF1	0.586206896551724	0.196431249062828	2.62832778809335	5.85623396780447	13.4719747514879	0.05	4.07563454578922e-06	6	9.69572007735119e-05
BCLAF1	0	0.244564402459139	0	0	0.41721402792296	0.05	0.000657171621972041	6	0.00942989121051945
ELF2	0	0.310841205578048	0	0	0.299247058443924	0.05	2.53756262104235e-05	6	0.0005213537748687
POLR2A	0	0.355825461088619	0	0	0.244242714507398	0.05	4.57211381909743e-06	6	0.000105979253652925
EGR2	0.454545454545455	0.0337381916329285	9.51733007186101	24.8811215703833	63.6117226077113	0.05	7.10482183082294e-10	7	2.56910357402558e-08
JUN	0.409090909090909	0.0326885590043485	7.93641776064203	21.2876847617222	54.5340783679615	0.05	1.24271154112986e-08	7	4.01218297564784e-07
CEBPB	0.210526315789474	0.00539811066126856	12.5577164143442	54.8083557421002	185.377753578947	0.05	2.61716883913717e-06	8	6.64955219933784e-05
NFAT5	0.105263157894737	0.00149947518368571	9.34660090732498	96.6971359352108	542.943415847371	0.05	0.000341407661062382	8	0.00523105975593888
FOSL2	0.473684210526316	0.065377118008697	4.68440005592463	13.1031295904051	36.0753897848329	0.05	1.03069055858179e-06	8	2.82346746956951e-05
ELK3	0.210526315789474	0.0202429149797571	3.15843837325293	13.245861299194	42.3177343282926	0.05	0.000491532631183292	8	0.00728435243589665
NFKB1	0.421052631578947	0.0916179337231969	2.53470576573421	7.29012885759258	19.9776008119457	0.05	0.000143695916402644	8	0.00245096430996207
IRF8	0.473684210526316	0.121907332433648	2.34389416631962	6.54010015498958	17.9660963916117	0.05	0.000168319633990715	8	0.00281779535421494
